No,Switch,Connection,Speed,Transformation,Offline,Timeliness,Initiative,Attitude,Skill,Consideration,Standard,Settlement,Success,Efficiency
24,8,8,8,8,8,1,1,2,2,2,2,2,2,2
14,3,10,4,3,2,7,1,10,6,9,6,5,6,5
40,7,6,5,6,6,6,6,6,6,5,5,6,5,5
25,4,5,2,4,6,5,5,8,5,5,2,4,6,5
64,3,5,3,3,3,5,8,5,9,8,8,8,5,6
31,7,8,5,5,8,9,7,8,8,5,6,8,8,6
38,1,6,1,1,1,7,8,5,6,7,7,5,5,6
8,7,7,7,7,5,6,3,7,6,6,6,6,5,6
13,6,6,6,6,6,6,6,6,6,6,6,6,6,6
72,8,8,8,8,8,7,6,7,7,6,6,6,7,7
20,6,8,7,6,5,8,8,8,8,8,8,8,7,7
28,7,8,6,6,6,8,6,8,8,7,6,8,8,7
10,6,6,6,6,6,8,7,8,7,7,8,7,7,7
33,9,9,9,9,9,8,7,9,8,8,7,8,7,7
77,6,5,7,8,5,9,8,8,8,9,8,8,7,7
21,7,8,8,8,6,6,1,6,6,2,2,5,6,7
44,6,6,2,2,10,8,8,9,6,8,8,6,5,7
43,8,1,1,1,5,8,8,8,6,8,10,8,8,8
1,8,8,8,8,7,8,8,8,8,8,9,8,8,8
2,8,8,6,8,10,6,6,8,9,8,9,9,9,8
63,6,7,7,7,1,9,6,8,9,7,9,9,9,8
60,7,9,6,6,8,9,9,9,9,8,8,9,9,8
68,5,6,8,6,4,9,8,9,8,7,7,8,9,8
67,7,6,6,7,6,8,7,8,8,8,8,8,9,8
51,8,8,8,9,9,9,8,9,9,8,8,8,9,8
16,7,8,3,5,7,8,10,10,10,10,10,10,10,8
17,7,8,3,5,7,8,10,10,10,10,10,10,10,8
57,8,9,7,8,7,8,6,10,8,8,9,10,10,8
74,8,8,7,7,9,8,8,8,8,8,8,8,8,8
23,10,10,5,10,8,8,8,10,8,6,8,10,8,8
11,6,8,5,8,5,8,8,8,5,5,7,8,8,8
32,7,9,6,8,8,9,8,9,8,8,7,8,8,8
4,8,5,5,5,5,8,5,8,6,1,5,5,6,8
53,6,8,3,5,7,9,9,10,6,7,8,8,8,8
26,8,7,7,8,8,8,7,8,8,7,7,8,8,8
34,7,8,5,8,7,7,5,8,9,9,8,7,8,8
61,7,9,7,6,8,8,6,9,9,7,8,8,8,8
19,8,9,7,8,7,8,7,8,7,7,8,7,8,8
37,8,9,7,9,8,8,9,9,9,9,9,9,9,9
62,9,9,8,9,7,10,9,9,9,9,9,9,9,9
56,6,8,5,7,5,9,9,10,9,10,9,9,9,9
52,9,10,9,10,8,10,8,10,10,10,9,10,10,9
18,8,8,10,10,8,10,10,10,8,10,9,9,10,9
27,8,8,8,7,8,9,9,9,9,8,8,10,10,9
7,9,10,8,9,5,9,10,9,10,5,9,9,10,9
41,6,3,6,6,5,10,10,10,10,10,10,10,10,9
73,9,8,8,8,9,10,10,10,10,8,10,10,10,9
50,8,9,6,9,8,9,9,9,9,9,9,9,9,9
70,7,8,6,7,6,9,8,10,9,10,10,10,9,9
9,9,9,8,8,10,9,8,9,9,9,8,9,9,9
65,7,7,6,6,8,9,9,9,9,9,9,9,9,9
49,8,7,5,8,9,9,9,9,9,9,9,9,9,9
69,7,8,6,5,9,9,9,10,9,9,9,9,9,9
55,8,10,6,7,8,8,9,9,8,9,9,9,9,9
12,9,9,8,9,8,9,9,9,8,9,9,9,9,9
3,9,9,8,9,8,9,9,9,9,9,9,9,9,9
22,8,9,7,9,7,9,8,10,10,9,8,10,8,9
5,9,9,9,9,9,10,9,10,9,9,9,9,8,9
47,9,10,9,9,9,10,8,10,10,10,8,10,10,10
71,9,10,7,10,9,10,10,10,10,9,9,10,10,10
58,8,10,8,10,7,10,10,10,10,10,10,10,10,10
29,10,10,8,8,8,10,8,10,10,10,10,10,10,10
66,10,10,8,10,9,10,10,10,10,10,10,10,10,10
6,5,5,8,8,5,10,10,10,10,8,10,10,10,10
35,9,10,10,10,9,10,10,10,10,10,10,10,10,10
