position,id,gender,education,salary,begin_salary,jobtime,age
employee,412,0,12,22800,11250,68,36
employee,403,0,12,21300,11250,69,36
employee,398,0,12,30600,12450,69,36
employee,392,0,12,21600,12000,69,36
employee,396,0,12,20850,11250,69,36
employee,439,0,12,20400,11250,66,36
employee,459,0,12,21750,11250,65,36
employee,337,0,12,26100,11550,74,37
employee,395,0,12,22650,11250,69,37
employee,402,0,12,20700,11250,69,37
employee,315,0,12,34500,12150,77,37
employee,238,0,12,27300,11250,81,37
employee,239,0,12,27750,11225,81,37
employee,244,0,8,22500,10950,81,37
employee,280,0,12,24750,10950,79,37
employee,397,0,12,22950,12300,69,37
employee,345,0,12,22200,16500,73,37
employee,279,0,12,24450,12000,79,37
employee,236,0,8,27450,12000,81,37
employee,248,0,12,22050,10950,81,37
employee,252,1,12,25500,11400,81,37
employee,249,0,12,25500,12000,81,37
employee,394,0,8,29100,12450,69,37
employee,261,0,12,23400,11250,80,37
employee,400,0,12,23850,12750,69,37
employee,451,1,15,28500,14250,65,37
employee,460,0,12,22500,12750,65,37
employee,237,0,12,22650,11250,81,37
employee,265,0,12,23400,11250,80,37
employee,267,0,12,18150,10950,80,37
employee,313,0,12,21300,11250,77,37
employee,393,0,12,27900,12450,69,37
employee,399,0,12,20400,11250,69,37
employee,401,0,12,22800,11250,69,37
employee,263,0,12,28500,11250,80,38
employee,99,0,12,22050,10950,92,38
employee,259,0,12,19650,11250,80,38
employee,260,0,12,22350,11250,80,38
employee,77,0,12,27600,11400,93,38
employee,92,0,8,24000,10950,92,38
employee,95,0,12,28500,10500,92,38
employee,215,0,12,19200,11100,83,38
employee,301,1,12,31500,13500,78,38
employee,390,0,15,24150,13500,69,38
employee,262,0,12,24300,10950,80,38
employee,264,0,12,19950,11250,80,38
employee,214,0,12,20400,10950,83,38
employee,474,0,12,29400,14250,63,38
employee,78,0,12,22950,10500,93,38
employee,457,1,15,31650,14250,65,38
employee,247,0,12,19650,10950,81,38
employee,317,1,12,27750,11550,77,38
employee,391,0,12,24450,12450,69,38
employee,251,0,12,23100,11250,81,38
employee,208,0,12,24000,11250,83,38
employee,245,0,12,26700,11550,81,38
employee,346,0,15,22950,13950,73,38
employee,258,1,8,21300,11550,80,38
employee,294,1,12,26700,12750,78,38
employee,442,0,12,29700,13500,66,38
employee,360,0,12,29400,15300,72,38
employee,135,0,12,26250,10950,89,38
employee,243,0,12,23100,10950,81,38
employee,242,0,12,40800,18000,81,39
employee,81,0,12,24300,10950,93,39
employee,323,0,15,25500,12000,76,39
employee,76,0,15,29250,11550,93,39
employee,157,0,12,26550,13050,87,39
employee,369,1,14,28050,15000,71,39
employee,374,1,15,29400,15750,70,39
employee,153,0,12,26700,12900,87,39
employee,467,0,16,32850,19500,64,39
employee,91,0,12,20100,11250,92,39
employee,417,1,15,37800,15000,67,39
employee,73,0,12,26400,10500,93,39
employee,83,0,12,22950,11250,93,39
employee,93,0,12,25950,10950,92,39
employee,225,0,15,21900,12750,82,39
employee,246,0,12,24900,11250,81,39
employee,84,0,8,25050,10950,93,40
manager,371,0,16,58125,18000,71,40
employee,26,1,15,31050,12600,96,40
employee,361,0,12,28800,13950,72,40
employee,250,0,15,28200,12750,81,40
employee,324,0,12,29160,15000,76,40
employee,165,0,15,33300,13500,86,40
employee,141,0,15,35550,13350,88,40
employee,334,0,12,24450,10950,75,40
employee,471,1,15,26400,15750,64,40
employee,142,0,12,28500,13950,88,40
employee,314,0,12,29850,13500,77,40
employee,193,0,12,24750,12000,84,40
employee,306,1,15,30750,16500,77,40
